tspan,sigma1,sigma2,sigma3
0.0,0.0,0.0,0.0
1.0e-5,0.0,0.0,0.0
2.0e-5,0.0,0.0,0.0
2.9999997e-5,0.0,0.0,0.0
4.0e-5,0.0,0.0,0.0
4.9999995e-5,0.0,0.0,0.0
5.9999995e-5,0.0,0.0,0.0
6.9999995e-5,0.0,0.0,0.0
8.0e-5,0.0,0.0,0.0
8.9999994e-5,0.0,0.0,0.0
9.999999e-5,0.0,0.0,0.0
0.00010999999,0.0,0.0,0.0
0.00011999999,0.0,0.0,0.0
0.00012999999,0.0,0.0,0.0
0.00013999999,0.0,0.0,0.0
0.00014999999,0.0,0.0,0.0
0.00016,0.0,0.0,0.0
0.00016999998,0.0,0.0,0.0
0.00017999999,0.0,0.0,0.0
0.00018999999,0.0,0.0,0.0
0.00019999998,0.0,0.0,0.0
0.00020999998,0.0,0.0,0.0
0.00021999999,0.0,0.0,0.0
0.00022999999,0.0,0.0,0.0
0.00023999998,0.0,0.0,0.0
0.00024999998,0.0,0.0,0.0
0.00025999997,0.0,0.0,0.0
0.00027,0.0,0.0,0.0
0.00027999998,0.0,0.0,0.0
0.00028999997,0.0,0.0,0.0
0.00029999999,0.0,0.0,0.0
0.00030999997,0.0,0.0,0.0
0.00032,0.0,0.0,0.0
0.00032999998,0.0,0.0,0.0
0.00033999997,0.0,0.0,0.0
0.00035,0.0,0.0,0.0
0.00035999998,0.0,0.0,0.0
0.00036999997,0.0,0.0,0.0
0.00037999998,0.0,0.0,0.0
0.00038999997,0.0,0.0,0.0
0.00039999996,0.0,0.0,0.0
0.00040999998,0.0,0.0,0.0
0.00041999997,0.0,0.0,0.0
0.00042999996,0.0,0.0,0.0
0.00043999997,0.0,0.0,0.0
0.00044999996,0.0,0.0,0.0
0.00045999998,0.0,0.0,0.0
0.00046999997,0.0,0.0,0.0
0.00047999996,0.0,0.0,0.0
0.00048999995,0.0,0.0,0.0
0.00049999997,0.0,0.0,0.0
0.00051,0.0,0.0,0.0
0.00051999994,0.0,0.0,0.0
0.00052999996,0.0,0.0,0.0
0.00054,0.0,0.0,0.0
0.00054999994,0.0,0.0,0.0
0.00055999996,0.0,0.0,0.0
0.00057,0.0,0.0,0.0
0.00057999993,0.0,0.0,0.0
0.00058999995,0.0,0.0,0.0
0.00059999997,0.0,0.0,0.0
0.00060999993,0.0,0.0,0.0
0.00061999995,0.0,0.0,0.0
0.00062999997,0.0,0.0,0.0
